DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
1768	3	168	14	104	7	8	22.900	-1.000
1769	3	169	14	105	7	9	22.900	-1.000
1770	3	170	14	106	7	10	22.900	-1.000
1771	3	171	14	107	7	11	22.900	-1.000
1772	3	172	14	108	7	12	22.900	-1.000
1773	3	173	14	109	7	13	22.900	-1.000
1774	3	174	14	110	7	14	22.900	-1.000
1775	3	175	14	111	7	15	22.900	-1.000
1776	3	176	14	112	8	0	22.900	-1.000
1777	3	177	14	113	8	1	22.900	-1.000
1778	3	178	14	114	8	2	22.900	-1.000
1779	3	179	14	115	8	3	22.900	-1.000
1780	3	180	14	116	8	4	22.900	-1.000
1781	3	181	14	117	8	5	22.900	-1.000
1782	3	182	14	118	8	6	22.900	-1.000
1783	3	183	14	119	8	7	22.900	-1.000
1784	3	184	14	120	8	8	22.900	-1.000
1785	3	185	14	121	8	9	22.900	-1.000
1786	3	186	14	122	8	10	22.900	-1.000
1787	3	187	14	123	8	11	22.900	-1.000
1788	3	188	14	124	8	12	22.900	-1.000
1789	3	189	14	125	8	13	22.900	-1.000
1790	3	190	14	126	8	14	22.900	-1.000
1791	3	191	14	127	8	15	22.900	-1.000
