DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
436	1	258	4	27	2	11	23.102	0.027
437	1	259	4	26	2	10	25.355	0.033
438	1	261	4	25	2	9	23.366	0.041
439	1	262	4	24	2	8	24.368	0.031
440	1	273	4	63	4	15	22.934	0.032
441	0	108	4	62	4	14	22.850	0.109
442	1	270	4	61	4	13	22.370	0.032
443	0	107	4	60	4	12	22.467	0.117
444	1	268	4	59	4	11	25.130	0.050
445	1	266	4	58	4	10	23.633	0.053
446	1	264	4	57	4	9	23.460	0.042
447	1	263	4	56	4	8	23.200	0.039
448	1	309	4	71	5	7	21.811	0.043
449	1	311	4	70	5	6	23.016	0.041
450	1	312	4	69	5	5	23.630	0.044
451	0	125	4	68	5	4	21.917	0.098
452	1	315	4	67	5	3	21.675	0.044
453	0	126	4	66	5	2	21.769	0.099
454	1	318	4	65	5	1	22.596	0.047
455	1	319	4	64	5	0	21.267	0.050
456	1	307	4	103	7	7	22.900	-1.000
457	1	306	4	102	7	6	22.900	-1.000
458	1	304	4	101	7	5	22.900	-1.000
459	1	303	4	100	7	4	22.900	-1.000
460	0	120	4	99	7	3	22.900	-1.000
461	1	300	4	98	7	2	22.900	-1.000
462	0	119	4	97	7	1	22.900	-1.000
463	1	297	4	96	7	0	22.900	-1.000
464	1	298	4	79	5	15	22.534	0.057
465	1	299	4	78	5	14	23.191	0.046
466	1	301	4	77	5	13	23.507	0.042
467	1	302	4	76	5	12	24.083	0.043
468	0	121	4	75	5	11	22.338	0.109
469	1	305	4	74	5	10	23.985	0.047
470	0	122	4	73	5	9	22.179	0.087
471	1	308	4	72	5	8	22.945	0.040
472	0	127	4	111	7	15	22.235	0.129
473	1	317	4	110	7	14	22.885	0.049
474	1	316	4	109	7	13	23.391	0.047
475	1	314	4	108	7	12	23.061	0.051
476	1	313	4	107	7	11	23.489	0.053
477	0	124	4	106	7	10	22.872	0.096
478	1	310	4	105	7	9	23.566	0.040
479	0	123	4	104	7	8	21.968	0.085
480	2	7	4	87	6	7	21.311	0.104
481	0	129	4	86	6	6	20.356	0.109
482	2	8	4	85	6	5	22.819	0.096
483	2	9	4	84	6	4	22.721	0.114
484	0	130	4	83	6	3	20.813	0.103
485	2	10	4	82	6	2	20.709	0.105
486	2	11	4	81	6	1	21.432	0.108
487	0	131	4	80	6	0	20.290	0.096
488	2	18	4	119	8	7	23.116	0.118
489	0	134	4	118	8	6	22.430	0.132
490	2	19	4	117	8	5	23.464	0.116
491	2	20	4	116	8	4	23.531	0.115
492	0	135	4	115	8	3	22.277	0.120
493	2	21	4	114	8	2	22.320	0.105
494	0	136	4	113	8	1	21.950	0.136
495	0	137	4	112	8	0	20.448	0.134
496	2	0	4	95	6	15	20.715	0.151
497	2	1	4	94	6	14	21.954	0.110
498	2	2	4	93	6	13	22.460	0.110
499	2	3	4	92	6	12	21.877	0.110
500	2	4	4	91	6	11	21.564	0.106
501	2	5	4	90	6	10	22.580	0.102
502	0	128	4	89	6	9	21.531	0.101
503	2	6	4	88	6	8	22.168	0.103
504	2	12	4	127	8	15	22.475	0.116
505	2	13	4	126	8	14	21.797	0.108
506	2	14	4	125	8	13	22.666	0.113
507	0	132	4	124	8	12	22.700	0.125
508	2	15	4	123	8	11	22.880	0.118
509	2	16	4	122	8	10	22.657	0.103
510	0	133	4	121	8	9	22.217	0.118
511	2	17	4	120	8	8	23.243	0.107
512	2	55	5	7	1	7	22.662	0.057
513	2	57	5	6	1	6	23.748	0.062
514	2	58	5	5	1	5	22.691	0.060
515	0	155	5	4	1	4	23.646	0.202
516	2	61	5	3	1	3	22.304	0.056
517	2	62	5	2	1	2	22.439	0.052
518	0	157	5	1	1	1	21.953	0.183
519	2	65	5	0	1	0	21.976	0.078
520	2	53	5	39	3	7	22.132	0.063
521	2	52	5	38	3	6	21.624	0.072
522	0	151	5	37	3	5	21.626	0.281
523	2	49	5	36	3	4	23.125	0.091
524	2	48	5	35	3	3	23.349	0.072
525	2	46	5	34	3	2	23.034	0.064
526	2	45	5	33	3	1	21.899	0.083
527	0	148	5	32	3	0	20.999	0.147
528	2	44	5	15	1	15	23.853	0.068
529	0	149	5	14	1	14	24.621	0.176
530	2	47	5	13	1	13	25.732	0.056
531	0	150	5	12	1	12	24.609	0.227
532	2	50	5	11	1	11	23.985	0.081
533	2	51	5	10	1	10	24.605	0.078
534	0	152	5	9	1	9	22.740	0.245
535	2	54	5	8	1	8	24.123	0.062
536	2	64	5	47	3	15	21.439	0.073
537	2	63	5	46	3	14	21.842	0.066
538	0	156	5	45	3	13	21.998	0.176
539	2	60	5	44	3	12	22.282	0.052
540	2	59	5	43	3	11	20.992	0.072
541	0	154	5	42	3	10	21.879	0.165
542	2	56	5	41	3	9	22.086	0.080
543	0	153	5	40	3	8	22.500	0.166
544	2	33	5	23	2	7	22.496	0.077
545	0	144	5	22	2	6	21.741	0.161
546	2	36	5	21	2	5	22.977	0.063
547	2	37	5	20	2	4	23.426	0.059
548	2	39	5	19	2	3	23.295	0.058
549	2	40	5	18	2	2	22.353	0.069
550	0	147	5	17	2	1	22.191	0.156
551	2	43	5	16	2	0	20.877	0.075
552	2	31	5	55	4	7	22.672	0.071
553	2	30	5	54	4	6	23.108	0.072
554	2	28	5	53	4	5	23.779	0.075
555	2	27	5	52	4	4	23.032	0.077
556	0	140	5	51	4	3	23.212	0.151
557	2	24	5	50	4	2	22.944	0.063
558	2	23	5	49	4	1	23.179	0.086
559	0	138	5	48	4	0	21.434	0.152
560	2	22	5	31	2	15	22.842	0.083
561	0	139	5	30	2	14	23.386	0.176
562	2	25	5	29	2	13	23.845	0.083
563	2	26	5	28	2	12	23.974	0.080
564	0	141	5	27	2	11	22.795	0.155
565	2	29	5	26	2	10	23.584	0.074
566	0	142	5	25	2	9	22.815	0.168
567	2	32	5	24	2	8	22.268	0.076
568	2	42	5	63	4	15	22.152	0.084
569	2	41	5	62	4	14	23.181	0.073
570	0	146	5	61	4	13	22.050	0.155
571	2	38	5	60	4	12	22.109	0.061
572	0	145	5	59	4	11	22.019	0.164
573	2	35	5	58	4	10	23.417	0.060
574	2	34	5	57	4	9	22.271	0.066
575	0	143	5	56	4	8	22.903	0.210
576	0	163	5	71	5	7	21.544	0.173
577	2	79	5	70	5	6	22.989	0.066
578	2	80	5	69	5	5	22.888	0.059
579	0	165	5	68	5	4	23.888	0.181
580	2	83	5	67	5	3	22.335	0.068
581	0	166	5	66	5	2	22.009	0.183
582	2	86	5	65	5	1	21.429	0.088
583	2	87	5	64	5	0	20.800	0.072
584	0	162	5	103	7	7	22.488	0.185
585	2	74	5	102	7	6	22.090	0.073
586	0	161	5	101	7	5	21.883	0.148
587	2	71	5	100	7	4	22.666	0.101
588	2	70	5	99	7	3	23.332	0.054
589	0	159	5	98	7	2	22.751	0.186
590	2	67	5	97	7	1	22.437	0.088
591	2	66	5	96	7	0	21.630	0.083
592	0	158	5	79	5	15	21.560	0.163
593	2	68	5	78	5	14	23.481	0.079
594	2	69	5	77	5	13	23.680	0.075
595	0	160	5	76	5	12	22.956	0.160
596	2	72	5	75	5	11	23.839	0.077
597	2	73	5	74	5	10	23.830	0.093
598	2	75	5	73	5	9	22.744	0.067
599	2	76	5	72	5	8	22.954	0.066
600	0	167	5	111	7	15	22.277	0.192
601	2	85	5	110	7	14	22.328	0.052
602	2	84	5	109	7	13	22.207	0.073
603	2	82	5	108	7	12	22.414	0.064
604	2	81	5	107	7	11	22.486	0.050
605	0	164	5	106	7	10	23.054	0.182
606	2	78	5	105	7	9	23.134	0.053
607	2	77	5	104	7	8	23.042	0.075
608	0	173	5	87	6	7	22.250	0.163
609	2	101	5	86	6	6	23.362	0.081
610	0	174	5	85	6	5	22.566	0.174
611	2	104	5	84	6	4	22.401	0.069
612	2	105	5	83	6	3	23.108	0.063
613	0	176	5	82	6	2	22.813	0.217
614	2	108	5	81	6	1	22.011	0.077
615	2	109	5	80	6	0	20.785	0.093
616	0	172	5	119	8	7	22.537	0.198
617	2	96	5	118	8	6	22.317	0.077
618	2	95	5	117	8	5	23.695	0.083
619	0	170	5	116	8	4	23.801	0.182
620	2	92	5	115	8	3	23.338	0.067
621	0	169	5	114	8	2	22.488	0.157
622	2	89	5	113	8	1	22.574	0.091
623	2	88	5	112	8	0	21.904	0.098
624	0	168	5	95	6	15	22.963	0.181
625	2	90	5	94	6	14	24.178	0.090
626	2	91	5	93	6	13	24.234	0.069
627	2	93	5	92	6	12	25.380	0.073
628	2	94	5	91	6	11	24.573	0.075
629	0	171	5	90	6	10	23.510	0.180
630	2	97	5	89	6	9	22.349	0.079
631	2	98	5	88	6	8	23.574	0.062
632	0	177	5	127	8	15	22.033	0.192
633	2	107	5	126	8	14	22.208	0.066
634	2	106	5	125	8	13	21.872	0.074
635	0	175	5	124	8	12	22.630	0.182
636	2	103	5	123	8	11	22.284	0.092
637	2	102	5	122	8	10	22.380	0.060
638	2	100	5	121	8	9	22.135	0.077
639	2	99	5	120	8	8	22.410	0.077
640	2	144	6	7	1	7	20.932	0.131
641	0	193	6	6	1	6	21.892	0.242
642	2	147	6	5	1	5	21.625	0.131
643	0	194	6	4	1	4	21.345	0.251
644	2	150	6	3	1	3	21.379	0.126
645	2	151	6	2	1	2	20.810	0.118
646	0	196	6	1	1	1	20.461	0.242
647	2	154	6	0	1	0	19.657	0.107
648	2	142	6	39	3	7	23.268	0.124
649	2	141	6	38	3	6	22.964	0.129
650	0	190	6	37	3	5	23.226	0.274
651	2	138	6	36	3	4	23.298	0.122
652	0	189	6	35	3	3	23.295	0.258
653	2	135	6	34	3	2	23.566	0.130
654	2	134	6	33	3	1	22.372	0.124
655	0	187	6	32	3	0	21.912	0.244
656	2	133	6	15	1	15	21.639	0.141
657	0	188	6	14	1	14	21.675	0.269
658	2	136	6	13	1	13	22.413	0.128
659	2	137	6	12	1	12	22.626	0.135
660	2	139	6	11	1	11	23.843	0.131
661	2	140	6	10	1	10	22.272	0.140
662	0	191	6	9	1	9	21.598	0.266
663	2	143	6	8	1	8	21.824	0.144
664	2	153	6	47	3	15	23.429	0.122
665	2	152	6	46	3	14	21.548	0.126
666	0	195	6	45	3	13	22.115	0.237
667	2	149	6	44	3	12	23.382	0.144
668	2	148	6	43	3	11	21.920	0.119
669	2	146	6	42	3	10	21.396	0.115
670	2	145	6	41	3	9	21.585	0.122
671	0	192	6	40	3	8	22.872	0.251
672	2	122	6	23	2	7	22.114	0.124
673	0	183	6	22	2	6	21.547	0.232
674	2	125	6	21	2	5	22.835	0.120
675	2	126	6	20	2	4	22.074	0.120
676	0	185	6	19	2	3	22.037	0.244
677	2	129	6	18	2	2	21.745	0.109
678	0	186	6	17	2	1	20.454	0.211
679	2	132	6	16	2	0	20.243	0.116
680	2	120	6	55	4	7	21.786	0.119
681	0	181	6	54	4	6	20.510	0.212
682	2	117	6	53	4	5	22.526	0.134
683	2	116	6	52	4	4	21.660	0.127
684	0	179	6	51	4	3	21.494	0.240
685	2	113	6	50	4	2	21.890	0.125
686	2	112	6	49	4	1	20.731	0.115
687	2	110	6	48	4	0	20.596	0.132
688	2	111	6	31	2	15	21.301	0.119
689	0	178	6	30	2	14	22.492	0.292
690	2	114	6	29	2	13	23.219	0.139
691	2	115	6	28	2	12	22.901	0.134
692	0	180	6	27	2	11	22.712	0.247
693	2	118	6	26	2	10	22.770	0.128
694	2	119	6	25	2	9	21.114	0.114
695	2	121	6	24	2	8	22.229	0.125
696	2	131	6	63	4	15	21.020	0.118
697	2	130	6	62	4	14	19.789	0.110
698	2	128	6	61	4	13	21.712	0.131
699	2	127	6	60	4	12	22.558	0.140
700	0	184	6	59	4	11	20.388	0.210
701	2	124	6	58	4	10	22.214	0.133
702	2	123	6	57	4	9	21.879	0.128
703	0	182	6	56	4	8	21.445	0.223
704	0	202	6	71	5	7	22.394	0.249
705	2	168	6	70	5	6	22.879	0.121
706	2	169	6	69	5	5	21.737	0.118
707	0	204	6	68	5	4	21.235	0.254
708	2	172	6	67	5	3	21.766	0.129
709	2	173	6	66	5	2	21.831	0.129
710	2	175	6	65	5	1	21.513	0.117
711	2	176	6	64	5	0	20.979	0.121
712	2	164	6	103	7	7	21.542	0.116
713	2	163	6	102	7	6	21.616	0.123
714	0	200	6	101	7	5	21.622	0.228
715	2	160	6	100	7	4	22.504	0.132
716	2	159	6	99	7	3	22.391	0.131
717	0	198	6	98	7	2	21.414	0.248
718	2	156	6	97	7	1	22.182	0.119
719	2	155	6	96	7	0	20.339	0.118
720	0	197	6	79	5	15	22.738	0.256
721	2	157	6	78	5	14	23.365	0.130
722	2	158	6	77	5	13	23.694	0.137
723	0	199	6	76	5	12	23.932	0.243
724	2	161	6	75	5	11	21.761	0.120
725	2	162	6	74	5	10	23.022	0.117
726	0	201	6	73	5	9	22.006	0.250
727	2	165	6	72	5	8	22.789	0.132
728	0	206	6	111	7	15	21.294	0.238
729	2	174	6	110	7	14	20.678	0.123
730	0	205	6	109	7	13	20.852	0.235
731	2	171	6	108	7	12	21.812	0.128
732	2	170	6	107	7	11	22.139	0.128
733	0	203	6	106	7	10	22.071	0.247
734	2	167	6	105	7	9	22.249	0.121
735	2	166	6	104	7	8	21.207	0.128
736	0	212	6	87	6	7	23.146	0.264
737	2	190	6	86	6	6	22.000	0.132
738	2	191	6	85	6	5	23.059	0.130
739	2	193	6	84	6	4	21.926	0.134
740	2	194	6	83	6	3	22.168	0.140
741	0	215	6	82	6	2	21.108	0.238
742	2	197	6	81	6	1	21.495	0.144
743	2	198	6	80	6	0	21.397	0.143
744	0	211	6	119	8	7	21.909	0.235
745	2	185	6	118	8	6	22.301	0.127
746	2	184	6	117	8	5	22.366	0.123
747	2	182	6	116	8	4	22.318	0.131
748	2	181	6	115	8	3	22.279	0.124
749	0	208	6	114	8	2	21.831	0.271
750	2	178	6	113	8	1	20.885	0.109
751	2	177	6	112	8	0	21.354	0.123
752	0	207	6	95	6	15	23.318	0.252
753	2	179	6	94	6	14	23.928	0.132
754	2	180	6	93	6	13	23.610	0.137
755	0	209	6	92	6	12	24.186	0.267
756	2	183	6	91	6	11	22.592	0.122
757	0	210	6	90	6	10	23.372	0.250
758	2	186	6	89	6	9	23.645	0.129
759	2	187	6	88	6	8	23.881	0.140
760	0	216	6	127	8	15	20.905	0.235
761	2	196	6	126	8	14	22.448	0.128
762	2	195	6	125	8	13	22.130	0.120
763	0	214	6	124	8	12	21.838	0.247
764	2	192	6	123	8	11	23.585	0.143
765	0	213	6	122	8	10	21.355	0.243
766	2	189	6	121	8	9	22.725	0.132
767	2	188	6	120	8	8	22.455	0.130
768	2	233	7	7	1	7	22.263	0.144
769	2	234	7	6	1	6	22.122	0.144
770	2	236	7	5	1	5	22.519	0.141
771	2	237	7	4	1	4	21.793	0.128
772	0	234	7	3	1	3	22.466	0.472
773	2	240	7	2	1	2	22.176	0.130
774	2	241	7	1	1	1	21.585	0.139
775	0	236	7	0	1	0	21.113	0.456
776	2	231	7	39	3	7	24.168	0.144
777	0	230	7	38	3	6	24.188	0.498
778	2	228	7	37	3	5	24.838	0.170
779	2	227	7	36	3	4	23.924	0.158
780	2	225	7	35	3	3	25.119	0.173
781	2	224	7	34	3	2	24.570	0.168
782	0	227	7	33	3	1	22.405	0.490
783	2	221	7	32	3	0	23.322	0.160
784	2	222	7	15	1	15	20.497	0.145
785	2	223	7	14	1	14	22.787	0.151
786	0	228	7	13	1	13	21.840	0.495
787	2	226	7	12	1	12	23.505	0.166
788	0	229	7	11	1	11	22.900	-1.000
789	2	229	7	10	1	10	22.376	0.154
790	2	230	7	9	1	9	22.945	0.165
791	0	231	7	8	1	8	22.120	0.475
792	2	242	7	47	3	15	23.174	0.173
793	0	235	7	46	3	14	22.900	-1.000
794	2	239	7	45	3	13	25.077	0.162
795	2	238	7	44	3	12	25.008	0.179
796	0	233	7	43	3	11	22.900	-1.000
797	2	235	7	42	3	10	24.588	0.156
798	0	232	7	41	3	9	22.900	-1.000
799	2	232	7	40	3	8	24.279	0.164
800	2	211	7	23	2	7	22.633	0.147
801	2	212	7	22	2	6	22.235	0.158
802	0	223	7	21	2	5	22.569	0.479
803	2	215	7	20	2	4	22.698	0.159
804	2	216	7	19	2	3	23.037	0.153
805	2	218	7	18	2	2	22.716	0.146
806	2	219	7	17	2	1	23.502	0.166
807	0	226	7	16	2	0	20.991	0.460
808	2	209	7	55	4	7	22.011	0.143
809	2	207	7	54	4	6	22.407	0.151
810	2	206	7	53	4	5	22.518	0.153
811	0	219	7	52	4	4	21.673	0.483
812	2	203	7	51	4	3	22.159	0.162
813	2	202	7	50	4	2	22.625	0.160
814	0	217	7	49	4	1	22.303	0.497
815	2	199	7	48	4	0	21.812	0.175
816	2	200	7	31	2	15	23.265	0.177
817	2	201	7	30	2	14	24.453	0.191
818	0	218	7	29	2	13	22.900	-1.000
819	2	204	7	28	2	12	23.635	0.176
820	2	205	7	27	2	11	23.024	0.164
821	0	220	7	26	2	10	22.900	-1.000
822	2	208	7	25	2	9	22.724	0.155
823	0	221	7	24	2	8	22.399	0.478
824	2	220	7	63	4	15	21.377	0.147
825	0	225	7	62	4	14	20.935	0.439
826	2	217	7	61	4	13	21.709	0.151
827	0	224	7	60	4	12	21.846	0.472
828	2	214	7	59	4	11	21.574	0.141
829	2	213	7	58	4	10	21.494	0.153
830	0	222	7	57	4	9	21.189	0.472
831	2	210	7	56	4	8	21.772	0.146
832	2	255	7	71	5	7	23.737	0.137
833	0	242	7	70	5	6	22.900	-1.000
834	2	258	7	69	5	5	23.464	0.155
835	2	259	7	68	5	4	23.153	0.143
836	0	244	7	67	5	3	22.900	-1.000
837	2	262	7	66	5	2	23.713	0.145
838	0	245	7	65	5	1	21.553	0.475
839	2	265	7	64	5	0	21.815	0.136
840	2	253	7	103	7	7	24.996	0.155
841	0	240	7	102	7	6	23.690	0.499
842	2	250	7	101	7	5	24.615	0.147
843	2	249	7	100	7	4	25.478	0.176
844	0	238	7	99	7	3	22.900	-1.000
845	2	246	7	98	7	2	23.707	0.160
846	2	245	7	97	7	1	23.052	0.140
847	2	243	7	96	7	0	21.604	0.147
848	2	244	7	79	5	15	24.176	0.173
849	0	237	7	78	5	14	22.900	-1.000
850	2	247	7	77	5	13	23.683	0.164
851	2	248	7	76	5	12	24.354	0.176
852	0	239	7	75	5	11	23.237	0.486
853	2	251	7	74	5	10	24.863	0.165
854	2	252	7	73	5	9	23.638	0.143
855	2	254	7	72	5	8	24.555	0.163
856	2	264	7	111	7	15	23.576	0.160
857	2	263	7	110	7	14	24.838	0.153
858	2	261	7	109	7	13	24.637	0.153
859	2	260	7	108	7	12	23.141	0.148
860	0	243	7	107	7	11	22.900	-1.000
861	2	257	7	106	7	10	23.817	0.145
862	2	256	7	105	7	9	24.967	0.162
863	0	241	7	104	7	8	22.900	-1.000
864	2	277	7	87	6	7	24.228	0.160
865	0	252	7	86	6	6	22.900	-1.000
866	2	280	7	85	6	5	24.500	0.166
867	0	253	7	84	6	4	22.900	-1.000
868	2	283	7	83	6	3	24.133	0.152
869	2	284	7	82	6	2	24.103	0.161
870	0	255	7	81	6	1	22.900	-1.000
871	2	287	7	80	6	0	22.285	0.237
872	2	275	7	119	8	7	23.733	0.154
873	2	274	7	118	8	6	23.388	0.172
874	0	249	7	117	8	5	22.900	-1.000
875	2	271	7	116	8	4	23.893	0.175
876	0	248	7	115	8	3	22.900	-1.000
877	2	268	7	114	8	2	23.166	0.158
878	2	267	7	113	8	1	23.479	0.157
879	0	246	7	112	8	0	22.900	-1.000
880	2	266	7	95	6	15	23.830	0.155
881	0	247	7	94	6	14	22.900	-1.000
882	2	269	7	93	6	13	25.202	0.172
883	2	270	7	92	6	12	25.441	0.162
884	2	272	7	91	6	11	24.376	0.158
885	2	273	7	90	6	10	25.031	0.177
886	0	250	7	89	6	9	22.367	0.481
887	2	276	7	88	6	8	23.070	0.155
888	2	286	7	127	8	15	23.073	0.177
889	2	285	7	126	8	14	23.966	0.169
890	0	254	7	125	8	13	22.900	-1.000
891	2	282	7	124	8	12	24.104	0.156
892	2	281	7	123	8	11	23.426	0.163
893	2	279	7	122	8	10	23.411	0.147
894	2	278	7	121	8	9	24.542	0.152
895	0	251	7	120	8	8	22.900	-1.000
896	0	271	8	7	1	7	22.114	0.103
897	2	323	8	6	1	6	23.895	0.085
898	0	272	8	5	1	5	22.202	0.114
899	2	326	8	4	1	4	21.289	0.086
900	2	327	8	3	1	3	23.081	0.083
901	0	274	8	2	1	2	20.876	0.107
902	2	330	8	1	1	1	22.299	0.089
903	2	331	8	0	1	0	21.511	0.094
904	0	270	8	39	3	7	23.297	0.119
905	2	318	8	38	3	6	23.110	0.086
906	2	317	8	37	3	5	24.393	0.088
907	0	268	8	36	3	4	23.254	0.124
908	2	314	8	35	3	3	22.877	0.080
909	0	267	8	34	3	2	21.962	0.144
910	2	311	8	33	3	1	21.419	0.084
911	2	310	8	32	3	0	21.541	0.079
912	0	266	8	15	1	15	22.474	0.115
913	2	312	8	14	1	14	24.295	0.074
914	2	313	8	13	1	13	24.712	0.090
915	2	315	8	12	1	12	22.881	0.064
916	2	316	8	11	1	11	23.836	0.083
917	0	269	8	10	1	10	23.979	0.128
918	2	319	8	9	1	9	22.932	0.073
919	2	320	8	8	1	8	23.507	0.085
920	0	275	8	47	3	15	23.051	0.117
921	2	329	8	46	3	14	24.323	0.080
922	2	328	8	45	3	13	24.525	0.077
923	0	273	8	44	3	12	23.046	0.134
924	2	325	8	43	3	11	23.153	0.080
925	2	324	8	42	3	10	23.281	0.086
926	2	322	8	41	3	9	23.839	0.104
927	2	321	8	40	3	8	23.598	0.069
928	0	261	8	23	2	7	21.648	0.110
929	2	301	8	22	2	6	22.993	0.087
930	2	302	8	21	2	5	20.832	0.073
931	0	263	8	20	2	4	21.571	0.119
932	2	305	8	19	2	3	21.814	0.110
933	0	264	8	18	2	2	20.904	0.103
934	2	308	8	17	2	1	21.850	0.080
935	2	309	8	16	2	0	21.042	0.088
936	0	260	8	55	4	7	22.347	0.129
937	2	296	8	54	4	6	23.348	0.094
938	0	259	8	53	4	5	23.671	0.132
939	2	293	8	52	4	4	24.273	0.093
940	2	292	8	51	4	3	23.333	0.082
941	0	257	8	50	4	2	22.816	0.125
942	2	289	8	49	4	1	22.791	0.080
943	2	288	8	48	4	0	21.317	0.083
944	0	256	8	31	2	15	21.909	0.162
945	2	290	8	30	2	14	23.221	0.097
946	2	291	8	29	2	13	23.729	0.075
947	0	258	8	28	2	12	22.450	0.135
948	2	294	8	27	2	11	22.050	0.074
949	2	295	8	26	2	10	22.362	0.095
950	2	297	8	25	2	9	21.909	0.074
951	2	298	8	24	2	8	22.168	0.093
952	0	265	8	63	4	15	22.102	0.101
953	2	307	8	62	4	14	23.740	0.087
954	2	306	8	61	4	13	23.057	0.097
955	2	304	8	60	4	12	22.862	0.096
956	2	303	8	59	4	11	22.785	0.079
957	0	262	8	58	4	10	22.058	0.123
958	2	300	8	57	4	9	23.379	0.104
959	2	299	8	56	4	8	22.739	0.097
960	2	344	8	71	5	7	23.558	0.074
961	2	345	8	70	5	6	23.528	0.106
962	0	282	8	69	5	5	23.671	0.123
963	2	348	8	68	5	4	22.882	0.094
964	2	349	8	67	5	3	22.977	0.095
965	2	351	8	66	5	2	22.642	0.075
966	2	352	8	65	5	1	23.410	0.091
967	0	285	8	64	5	0	21.517	0.112
968	2	342	8	103	7	7	22.769	0.068
969	2	340	8	102	7	6	22.431	0.076
970	2	339	8	101	7	5	23.479	0.057
971	0	278	8	100	7	4	22.939	0.092
972	2	336	8	99	7	3	22.666	0.090
973	2	335	8	98	7	2	22.023	0.080
974	0	276	8	97	7	1	21.708	0.103
975	2	332	8	96	7	0	21.125	0.073
976	2	333	8	79	5	15	23.312	0.091
977	2	334	8	78	5	14	23.042	0.082
978	0	277	8	77	5	13	24.364	0.108
979	2	337	8	76	5	12	23.681	0.087
980	2	338	8	75	5	11	24.551	0.085
981	0	279	8	74	5	10	22.757	0.105
982	2	341	8	73	5	9	23.308	0.095
983	0	280	8	72	5	8	23.051	0.103
984	2	353	8	111	7	15	21.654	0.083
985	0	284	8	110	7	14	21.139	0.103
986	2	350	8	109	7	13	22.727	0.077
987	0	283	8	108	7	12	21.695	0.084
988	2	347	8	107	7	11	23.079	0.088
989	2	346	8	106	7	10	22.684	0.084
990	0	281	8	105	7	9	22.773	0.089
991	2	343	8	104	7	8	22.841	0.083
992	2	366	8	87	6	7	22.896	0.080
993	2	367	8	86	6	6	23.010	0.115
994	2	369	8	85	6	5	22.413	0.087
995	2	370	8	84	6	4	23.148	0.098
996	0	293	8	83	6	3	22.247	0.120
997	2	373	8	82	6	2	21.597	0.092
998	2	374	8	81	6	1	21.713	0.100
999	0	295	8	80	6	0	20.457	0.079
1000	2	364	8	119	8	7	23.566	0.111
1001	0	289	8	118	8	6	22.434	0.094
1002	2	361	8	117	8	5	23.580	0.074
1003	2	360	8	116	8	4	23.524	0.094
1004	2	358	8	115	8	3	23.284	0.089
1005	2	357	8	114	8	2	23.380	0.090
1006	0	286	8	113	8	1	21.978	0.072
1007	2	354	8	112	8	0	21.483	0.071
1008	2	355	8	95	6	15	23.318	0.110
1009	2	356	8	94	6	14	23.767	0.080
1010	0	287	8	93	6	13	23.166	0.084
1011	2	359	8	92	6	12	24.458	0.063
1012	0	288	8	91	6	11	22.823	0.082
1013	2	362	8	90	6	10	23.224	0.093
1014	2	363	8	89	6	9	22.816	0.089
1015	0	290	8	88	6	8	22.040	0.081
1016	2	375	8	127	8	15	22.408	0.083
1017	0	294	8	126	8	14	22.515	0.079
1018	2	372	8	125	8	13	23.319	0.104
1019	2	371	8	124	8	12	23.733	0.096
1020	0	292	8	123	8	11	22.016	0.085
1021	2	368	8	122	8	10	23.728	0.103
1022	0	291	8	121	8	9	24.255	0.115
1023	2	365	8	120	8	8	23.306	0.091
1024	0	311	9	7	1	7	22.680	0.202
1025	2	411	9	6	1	6	23.643	0.232
1026	0	312	9	5	1	5	23.614	0.198
1027	2	414	9	4	1	4	23.848	0.235
1028	2	415	9	3	1	3	23.775	0.251
1029	0	314	9	2	1	2	22.254	0.190
1030	2	418	9	1	1	1	23.275	0.242
1031	2	419	9	0	1	0	23.900	0.242
1032	0	310	9	39	3	7	23.172	0.219
1033	2	406	9	38	3	6	23.692	0.236
1034	2	405	9	37	3	5	22.834	0.237
1035	0	308	9	36	3	4	23.068	0.220
1036	2	402	9	35	3	3	22.884	0.230
1037	0	307	9	34	3	2	22.721	0.215
1038	2	399	9	33	3	1	23.442	0.239
1039	2	398	9	32	3	0	22.362	0.226
1040	0	306	9	15	1	15	24.540	0.246
1041	2	400	9	14	1	14	23.077	0.237
1042	2	401	9	13	1	13	24.081	0.238
1043	2	403	9	12	1	12	24.730	0.246
1044	2	404	9	11	1	11	23.910	0.239
1045	0	309	9	10	1	10	22.535	0.210
1046	2	407	9	9	1	9	23.177	0.232
1047	2	408	9	8	1	8	23.954	0.229
1048	0	315	9	47	3	15	23.537	0.210
1049	2	417	9	46	3	14	24.926	0.255
1050	2	416	9	45	3	13	23.603	0.227
1051	0	313	9	44	3	12	24.772	0.248
1052	2	413	9	43	3	11	25.470	0.251
1053	2	412	9	42	3	10	25.342	0.250
1054	2	410	9	41	3	9	23.991	0.247
1055	2	409	9	40	3	8	23.835	0.244
1056	0	301	9	23	2	7	23.210	0.241
1057	2	389	9	22	2	6	22.754	0.230
1058	2	390	9	21	2	5	24.279	0.251
1059	0	303	9	20	2	4	22.971	0.250
1060	2	393	9	19	2	3	24.005	0.231
1061	0	304	9	18	2	2	22.688	0.240
1062	2	396	9	17	2	1	22.458	0.255
1063	2	397	9	16	2	0	22.855	0.229
1064	0	300	9	55	4	7	22.816	0.258
1065	2	384	9	54	4	6	23.936	0.241
